Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1280,uniform_crossover,25.0,15.134375
1,1280,uniform_crossover,31.0,16.55859375
2,1280,uniform_crossover,31.0,17.53671875
3,1280,uniform_crossover,31.0,18.38828125
4,1280,uniform_crossover,31.0,19.11328125
5,1280,uniform_crossover,31.0,19.7765625
6,1280,uniform_crossover,31.0,20.29296875
7,1280,uniform_crossover,31.0,20.76640625
8,1280,uniform_crossover,31.0,21.175
9,1280,uniform_crossover,31.0,21.60625
10,1280,uniform_crossover,31.0,21.9734375
11,1280,uniform_crossover,31.0,22.25546875
12,1280,uniform_crossover,31.0,22.60859375
13,1280,uniform_crossover,31.0,22.86640625
14,1280,uniform_crossover,31.0,23.1578125
15,1280,uniform_crossover,33.0,23.43984375
16,1280,uniform_crossover,33.0,23.6640625
17,1280,uniform_crossover,33.0,23.84296875
18,1280,uniform_crossover,33.0,24.02265625
19,1280,uniform_crossover,33.0,24.25
20,1280,uniform_crossover,33.0,24.40390625
21,1280,uniform_crossover,33.0,24.5546875
22,1280,uniform_crossover,33.0,24.7140625
23,1280,uniform_crossover,33.0,24.85078125
24,1280,uniform_crossover,35.0,24.96796875
25,1280,uniform_crossover,35.0,25.1109375
26,1280,uniform_crossover,35.0,25.2265625
27,1280,uniform_crossover,35.0,25.3375
28,1280,uniform_crossover,35.0,25.459375
29,1280,uniform_crossover,35.0,25.5953125
30,1280,uniform_crossover,35.0,25.71796875
31,1280,uniform_crossover,35.0,25.81328125
32,1280,uniform_crossover,35.0,25.93671875
33,1280,uniform_crossover,35.0,26.03828125
34,1280,uniform_crossover,35.0,26.1328125
35,1280,uniform_crossover,35.0,26.25
36,1280,uniform_crossover,35.0,26.35234375
37,1280,uniform_crossover,35.0,26.43359375
38,1280,uniform_crossover,35.0,26.52421875
39,1280,uniform_crossover,35.0,26.615625
40,1280,uniform_crossover,35.0,26.67578125
41,1280,uniform_crossover,35.0,26.75234375
42,1280,uniform_crossover,35.0,26.81875
43,1280,uniform_crossover,35.0,26.928125
44,1280,uniform_crossover,35.0,27.0125
45,1280,uniform_crossover,36.0,27.08203125
46,1280,uniform_crossover,36.0,27.17890625
47,1280,uniform_crossover,36.0,27.25625
48,1280,uniform_crossover,36.0,27.33671875
49,1280,uniform_crossover,36.0,27.40078125
